title,type,description
Gratiniert,false,"Schmand, Zwiebel, Speck, Gouda überbacken & frische Petersilie"
Klassisch,false,"Schmand, Zwiebel & Speck"
Etaly,false,"Tomatisierter Schmand, Zwiebel, Salami, Champignons, Goudakäse & frische Petersilie"
Champignons League,false,"Schmand, Zwiebel, Champignons, Goudakäse & Petersilie"
Generation L.A.X,false,"Schmand, Lauch, Räucherlachs & Goudakäse"
Stinkerkäääs,false,"Schmand, Lauch, Speck, emotionaler Käse & Kümmel"
La Perla!,false,"Tomatisierter Schmand, Zwiebel, Goudakäse & Pizzagewürz"
Chili Cheesinger,false,"Schmand, Zwiebel, Chester Schmelzkäse, scharfe Jalapenos & geschrotete Chilis"
Kreuzberg4,false,"Schmand, Zwiebel, Dönerfleisch & Scharf!"
Heißhuhner,false,"Tomatisierter Schmand, Zwiebel, Hähnchenbruststreifen, Gouda & Chiliöl"
Mexico,false,"Schmand, Zwiebel, Tortillas, milde Peperoni, Goudakäse & Chili geschrotet"
Papadopoulos,false,"Schmand, Zwiebel, Schafskäse, Tomaten & Oliven"
Toskana,false,"Schmand, Zwiebel, Tomaten, Mozzarella, frischer Basilikum & Créme de Balsamico"
Knobinger,false,"Schmand, Zwiebel, Speck, Goudakäse, Knoblauchöl & frische Petersilie"
Pepe mild,false,"Schmand, Zwiebel, Speck & mild pikante Peperonis"
Feige & Feta,false,"Schmand, Zwiebel, Schafskäse, Feigen & Waldhonig"
Ei-Thunes,false,"Schmand, Zwiebel, Thunfisch, hartgekochte Eier & Goudakäse"
Carmen & Bert,false,"Schmand, Lauch, Camembert, Preiselbeeren & grober Pfeffer"
Apfel,true,"Süßer Schmand, Apfel, Zimt, Zucker & Calvados flambiert"
Schokolinze,true,"Süßer Schmand, Smarties & Dessertsauce Schoko"
Banatella,true,"Süßer Schmand, Bananen & Nutella"
Himmel & Ehre,true,"Süßer Schmand, Himbeeren & Himbeergeist flambiert"
OSCHO,true,"Süßer Schmand, Oreo & Dessertsauce Schoko"
Schwarzwälder,true,"Süßer Schmand, Sauerkirschen, Sahne & Dessertsauce Schoko"
Klebär,true,"Süßer Schmand, Gummibären & Zuckerkügelchen"
Pflaume,true,"Süßer Schmand, Pflaumen, Zimt & Zwetschgenwasser flambiert"
